"sexo","idade","ano","previsto","inferior","superior","observado"
"Ambos",75,2019,0.0414228891242705,0.0407167032757426,0.0421413229794525,0.0422636281466819
"Ambos",80,2019,0.0761539818364613,0.0700690431667532,0.082767348995281,0.0700901170451768
"Ambos",85,2019,0.124519943514787,0.115724627622801,0.13398372197372,0.117280748146842
"Ambos",90,2019,0.194300264919094,0.19144366995317,0.19719948409297,0.199488869045786
"Homens",0,2012,0.0147753943148253,0.0142305956249217,0.0153410498697783,0.0155997361324769
"Homens",1,2012,0.000621481503941896,0.000604062586631717,0.000639402718012334,0.000622341007147406
"Homens",5,2012,0.000300710093662269,0.000294399719515028,0.000307155728882258,0.000299679781928047
"Homens",10,2012,0.000431294405271951,0.000422878734219545,0.000439877555825052,0.000431327438290847
"Homens",15,2012,0.00196945085241763,0.00190653101074042,0.00203444719138462,0.00205117450052824
"Homens",20,2012,0.00286117630843478,0.00275498102040687,0.00297146506901869,0.00284703444968549
"Homens",25,2012,0.00276819908445001,0.00269443875488402,0.00284397860491719,0.00276167522895212
"Homens",30,2012,0.00297960308800662,0.00292392472446169,0.00303634169778193,0.00295290920282916
"Homens",35,2012,0.00347132945303896,0.00341869508044119,0.00352477418664102,0.00346374685802159
"Homens",40,2012,0.0044617637945279,0.00438041619802332,0.00454462207658335,0.00444854169213388
"Homens",45,2012,0.00605926092764817,0.00596992673536204,0.00614993191990944,0.0060605653041925
"Homens",50,2012,0.00856143199407387,0.00846558626585138,0.00865836286906944,0.00853005551229424
"Homens",55,2012,0.012130408187749,0.0119408224408586,0.012323004008326,0.0121554058664232
"Homens",60,2012,0.0171578222498095,0.0167462424183553,0.0175795176614297,0.0172309811743569
"Homens",65,2012,0.025060494741226,0.0248274705385179,0.0252957060486962,0.0249969181091084
"Homens",70,2012,0.0367182455480435,0.0359821943922865,0.0374693533537087,0.0366022581870782
"Homens",75,2012,0.0569311328197627,0.0560363117715291,0.0578402429010009,0.0565960406679134
"Homens",80,2012,0.0899415065527678,0.0875451699263478,0.0924034370803927,0.0887474253130314
"Homens",85,2012,0.140444924994448,0.136442977956262,0.144564251324236,0.140056491144047
"Homens",90,2012,0.20306768233554,0.199177439854443,0.207033907250053,0.202103183756513
"Homens",0,2013,0.0138395629172309,0.0133292702148118,0.0143693914710467,0.015423886097242
"Homens",1,2013,0.000596238157606506,0.000563536037339071,0.000630837989110006,0.000596499552960447
"Homens",5,2013,0.000291151202571974,0.000285041420471762,0.000297391946120702,0.000291712744554439
"Homens",10,2013,0.000431033139548252,0.000416120172438984,0.000446480559449604,0.000430450038066405
"Homens",15,2013,0.00196945085241763,0.00188106557122189,0.00206198907652592,0.00214270163871619
"Homens",20,2013,0.00286117630843478,0.00271216368767601,0.00301837603133872,0.00288455640807291
"Homens",25,2013,0.00275026229390221,0.00258927583019781,0.00292125798149609,0.00276163020877629
"Homens",30,2013,0.0029639350471722,0.00284152688326103,0.00309161634739624,0.0029200519660476
"Homens",35,2013,0.00343665161375409,0.00332123373345277,0.00355608043943366,0.00339603356241765
"Homens",40,2013,0.0043844365133301,0.00425144373545047,0.00452158954360132,0.00431779793075055
"Homens",45,2013,0.00594716001342131,0.00581127320485419,0.00608622430549189,0.00588872892965128
"Homens",50,2013,0.0084055373374056,0.0082749669567979,0.00853816798295224,0.00829024709467807
"Homens",55,2013,0.01192066267225,0.011648065635328,0.0121996392357702,0.0119224792927757
"Homens",60,2013,0.0168317078847639,0.0162466862366921,0.0174377953873569,0.0168988338891229
"Homens",65,2013,0.0245830470508855,0.0242721546648131,0.0248979215340173,0.0244096654738168
"Homens",70,2013,0.0361919925638958,0.035170093388665,0.0372435839527012,0.0358205431848647
"Homens",75,2013,0.0562751058994562,0.0549592005959104,0.0576225183346402,0.0557085371753346
