sexo,idade,ano,previsto,observado
Ambos,25,2019,0.0016735500495277766,0.00149028211112217
Ambos,30,2019,0.00169312845608279,0.00164399084509165
Ambos,35,2019,0.0020242770522103134,0.00200083941999951
Ambos,40,2019,0.002745808143070143,0.00267096818683157
Ambos,45,2019,0.00390827529474467,0.00375370134920245
Ambos,50,2019,0.00566952956148423,0.00553706178159526
Ambos,55,2019,0.00844444327488921,0.00808833815876149
Ambos,60,2019,0.0124482548227456,0.0122329184919654
Ambos,65,2019,0.017967325744059667,0.0182329517186817
Ambos,70,2019,0.0262592951098708,0.0258402760536951
Ambos,75,2019,0.042783931257994866,0.0422636281466819
Ambos,80,2019,0.0700060525053142,0.0700901170451768
Ambos,85,2019,0.11830975037425867,0.117280748146842
Ambos,90,2019,0.19440255896916267,0.199488869045786
Homens,0,2016,0.013334540694369033,0.0135205973397519
Homens,1,2016,5.500041184548434e-4,5.4789504802886e-4
Homens,5,2016,2.561298174386867e-4,2.5457454462478e-4
Homens,10,2016,3.716845844408433e-4,3.7960323318008e-4
Homens,15,2016,0.0021753128506925433,0.00214515092977761
Homens,20,2016,0.00285982307900168,0.00289378198862236
Homens,25,2016,0.00270514699469731,0.00268515843763769
Homens,30,2016,0.00271083375850323,0.00271249478754558
Homens,35,2016,0.003116544293170513,0.00310993240598961
Homens,40,2016,0.0039894638594622734,0.00396177403582487
Homens,45,2016,0.005538259556098643,0.00545824255628177
Homens,50,2016,0.007901757151020247,0.00781993137467045
Homens,55,2016,0.011483706382963232,0.0113042803424906
Homens,60,2016,0.016691145160953033,0.0165607458082245
Homens,65,2016,0.0237333895584363,0.0239560642409194
Homens,70,2016,0.03466864953904733,0.034507055246693
Homens,75,2016,0.05387781724204434,0.0536727922224078
Homens,80,2016,0.0843977794054717,0.084518761697297
Homens,85,2016,0.13862686871542335,0.136130545446371
Homens,90,2016,0.21036378094903035,0.213843239645728
Homens,0,2017,0.012525050096074967,0.0138348693738661
Homens,1,2017,5.403300824138734e-4,5.5006395551936e-4
Homens,5,2017,2.4508460142248e-4,2.5160117756853e-4
Homens,10,2017,3.5969520229172665e-4,3.6412676665286e-4
Homens,15,2017,0.0021805121717119133,0.00208299015362052
Homens,20,2017,0.00287156874303808,0.00287377991422719
Homens,25,2017,0.0026945111363011532,0.00262423261934667
Homens,30,2017,0.0026575688640589836,0.00263084755725137
Homens,35,2017,0.0030403119422866033,0.00301870070986003
Homens,40,2017,0.0039086372287179,0.00383364674497096
Homens,45,2017,0.0054561566803351435,0.00529782126541753
Homens,50,2017,0.007798114852869077,0.00765941016976272
Homens,55,2017,0.0113790439638027,0.0110814293537621
Homens,60,2017,0.016632416694526534,0.0164329561480826
Homens,65,2017,0.0234701528520051,0.0237002180266519
Homens,70,2017,0.034331453713009934,0.0339966389886845
Homens,75,2017,0.053427125026643804,0.0530386482350519
Homens,80,2017,0.08374359221029873,0.0837252295000329
Homens,85,2017,0.13927383934753867,0.134126472285394
Homens,90,2017,0.20777341576824301,0.215434512173449
Homens,0,2018,0.011610516924435267,0.0135786263750232
