"idade","sexo","ano","PREVISAO_FINAL","observado"
30,"Ambos",2019,0.00183096113578422,0.00164399084509165
35,"Ambos",2019,0.00208881105898708,0.00200083941999951
40,"Ambos",2019,0.00276117435029234,0.00267096818683157
45,"Ambos",2019,0.00384121928153663,0.00375370134920245
50,"Ambos",2019,0.0055161446533596,0.00553706178159526
55,"Ambos",2019,0.00812766731658525,0.00808833815876149
60,"Ambos",2019,0.0116689413534998,0.0122329184919654
65,"Ambos",2019,0.0172972856547046,0.0182329517186817
70,"Ambos",2019,0.025823257202013,0.0258402760536951
75,"Ambos",2019,0.0419747207301429,0.0422636281466819
80,"Ambos",2019,0.0713256310536137,0.0700901170451768
85,"Ambos",2019,0.120395418735365,0.117280748146842
90,"Ambos",2019,0.193012938925877,0.199488869045786
0,"Homens",2016,0.0114263039081802,0.0135205973397519
1,"Homens",2016,0.000522946801009358,0.000547895048028865
5,"Homens",2016,0.000267545351965757,0.000254574544624785
10,"Homens",2016,0.000420490776130092,0.000379603233180083
15,"Homens",2016,0.00193625449207571,0.00214515092977761
20,"Homens",2016,0.00284275437518753,0.00289378198862236
25,"Homens",2016,0.00268722205648991,0.00268515843763769
30,"Homens",2016,0.00286071940092604,0.00271249478754558
35,"Homens",2016,0.0032535973526519,0.00310993240598961
40,"Homens",2016,0.00401813567518279,0.00396177403582487
45,"Homens",2016,0.00560398718215085,0.00545824255628177
50,"Homens",2016,0.00792681229444676,0.00781993137467045
55,"Homens",2016,0.0113240921134752,0.0113042803424906
60,"Homens",2016,0.0160805832176443,0.0165607458082245
65,"Homens",2016,0.0231839357951782,0.0239560642409194
70,"Homens",2016,0.0346171279931509,0.034507055246693
75,"Homens",2016,0.0539880175826969,0.0536727922224078
80,"Homens",2016,0.0875160791773437,0.084518761697297
85,"Homens",2016,0.138966094001374,0.136130545446371
90,"Homens",2016,0.20500880825965,0.213843239645728
0,"Homens",2017,0.0118017705853401,0.0138348693738661
1,"Homens",2017,0.000501390416317519,0.000550063955519368
5,"Homens",2017,0.000260180483452814,0.000251601177568536
10,"Homens",2017,0.000416087531643122,0.000364126766652861
15,"Homens",2017,0.00193172411277058,0.00208299015362052
20,"Homens",2017,0.00284920787591617,0.00287377991422719
25,"Homens",2017,0.00266763125347807,0.00262423261934667
30,"Homens",2017,0.00283893504309506,0.00263084755725137
35,"Homens",2017,0.00320808928691135,0.00301870070986003
40,"Homens",2017,0.00394677715914392,0.00383364674497096
45,"Homens",2017,0.005497896948789,0.00529782126541753
50,"Homens",2017,0.00779265572102871,0.00765941016976272
55,"Homens",2017,0.0111391879958743,0.0110814293537621
60,"Homens",2017,0.0158244849033262,0.0164329561480826
65,"Homens",2017,0.0227656505393795,0.0237002180266519
70,"Homens",2017,0.0341646455699679,0.0339966389886845
75,"Homens",2017,0.0534048774115782,0.0530386482350519
80,"Homens",2017,0.0870101525838253,0.0837252295000329
85,"Homens",2017,0.138906535756837,0.134126472285394
90,"Homens",2017,0.203759041627599,0.215434512173449
0,"Homens",2018,0.0102029126188335,0.0135786263750232
1,"Homens",2018,0.000481398850049709,0.000548496236715638
5,"Homens",2018,0.000253074721865305,0.000248054140372009
10,"Homens",2018,0.000416758315423265,0.000347598773313543
15,"Homens",2018,0.00193720607320961,0.00191994087257499
20,"Homens",2018,0.00284118126803328,0.00274528373722183
25,"Homens",2018,0.00264846491499848,0.00251330676859386
30,"Homens",2018,0.00281756627769195,0.00254425755574667
35,"Homens",2018,0.00316400695304204,0.00292157786050983
40,"Homens",2018,0.00389399860368647,0.00371469870311863
45,"Homens",2018,0.00539723106087151,0.0051087793614081
50,"Homens",2018,0.00766150875774775,0.00748051327322415
55,"Homens",2018,0.0109598494515212,0.010786702996587
60,"Homens",2018,0.0155721029083503,0.016143986391298
65,"Homens",2018,0.0223656138584353,0.0233861321914028
70,"Homens",2018,0.0336523940943483,0.033387336665686
75,"Homens",2018,0.0528621614065041,0.0522667739342522
80,"Homens",2018,0.0865092068652613,0.0828584909899789
85,"Homens",2018,0.138690938283174,0.132574546138651
90,"Homens",2018,0.202988428267507,0.216723711732269
0,"Homens",2019,0.0106399379979196,0.0132675217298844
1,"Homens",2019,0.000463087337413712,0.000561001189870819
5,"Homens",2019,0.000246207163111647,0.000243222707605791
10,"Homens",2019,0.000413856206080933,0.000334704808808973
15,"Homens",2019,0.00199296558019417,0.00166243520131769
20,"Homens",2019,0.00284796435018808,0.00248868207339464
25,"Homens",2019,0.00262920657592933,0.00234412921090513
30,"Homens",2019,0.00279658844023151,0.00244345690282026
35,"Homens",2019,0.00312087621266624,0.00281326519263482
40,"Homens",2019,0.00385059619640334,0.00360208140826479
45,"Homens",2019,0.00530158300649352,0.00497435134113222
50,"Homens",2019,0.00753284546812895,0.00737330116016342
55,"Homens",2019,0.0107849795591139,0.0106650953251627
60,"Homens",2019,0.0153288867060701,0.0159239497138927
65,"Homens",2019,0.0219773249738021,0.0233002936618778
70,"Homens",2019,0.033183184564484,0.0329968630644726
75,"Homens",2019,0.052334593531774,0.0518617482735885
80,"Homens",2019,0.0860124469913501,0.0822478993861486
85,"Homens",2019,0.138597855231571,0.133128731071637
90,"Homens",2019,0.20311518887051,0.2182456976121
0,"Mulheres",2016,0.0104696439267107,0.0112441653700822
1,"Mulheres",2016,0.000428782735434666,0.000482658039132429
5,"Mulheres",2016,0.000218853194453138,0.000202804625956757
10,"Mulheres",2016,0.000245457312778787,0.000244120631469099
15,"Mulheres",2016,0.000501971254860282,0.00046653646507089
20,"Mulheres",2016,0.000568826783684296,0.000560695295280403
25,"Mulheres",2016,0.000665742505460947,0.000670650802859736
30,"Mulheres",2016,0.000939795524987832,0.000903234177756624
35,"Mulheres",2016,0.00121101722659538,0.00129813036448878
40,"Mulheres",2016,0.00184702071142849,0.0018801837204144
45,"Mulheres",2016,0.0027241578682433,0.00276913102869272
50,"Mulheres",2016,0.00401586181321407,0.00410540216228509
55,"Mulheres",2016,0.00617046027510485,0.00613897417303654
60,"Mulheres",2016,0.00900575091937619,0.00934098078133144
65,"Mulheres",2016,0.0140857618724073,0.0143617906818095
70,"Mulheres",2016,0.0207713973209103,0.0209030466156008
75,"Mulheres",2016,0.0361459436401053,0.0364720048033259
80,"Mulheres",2016,0.0635086026932752,0.0633300542074554
85,"Mulheres",2016,0.112903656655223,0.111580109134992
90,"Mulheres",2016,0.186590269553775,0.190299559143387
0,"Mulheres",2017,0.0102484318663349,0.0118457403996224
1,"Mulheres",2017,0.000407760891335778,0.000490680211321701
5,"Mulheres",2017,0.000214671091502029,0.000196982846615696
10,"Mulheres",2017,0.00024081855681185,0.000244127193706332
15,"Mulheres",2017,0.000501330230642367,0.000455357438602881
20,"Mulheres",2017,0.000561842450245641,0.000557609350752891
25,"Mulheres",2017,0.000653053965887205,0.000656820426420847
30,"Mulheres",2017,0.00093053658146779,0.000885300082678025
35,"Mulheres",2017,0.00118483879761225,0.00126506929479191
40,"Mulheres",2017,0.00181025724752662,0.00184222125357385
45,"Mulheres",2017,0.00266469495679909,0.00272302739757205
50,"Mulheres",2017,0.00392672267577123,0.00402321274511456
55,"Mulheres",2017,0.0060757552599126,0.00599354483113515
60,"Mulheres",2017,0.00881103090697022,0.00922338322135395
65,"Mulheres",2017,0.0138090944012345,0.0141235800508043
70,"Mulheres",2017,0.0204344999799937,0.0205736387689359
75,"Mulheres",2017,0.0356925304760893,0.035936673507818
80,"Mulheres",2017,0.0627526858781127,0.0625697982042192
85,"Mulheres",2017,0.112534033406062,0.109264525517984
90,"Mulheres",2017,0.186494247387929,0.188929447183116
0,"Mulheres",2018,0.00977946924570245,0.0115660615701648
1,"Mulheres",2018,0.000388482038583238,0.00047500172266825
5,"Mulheres",2018,0.000210591270617332,0.000195505270313915
10,"Mulheres",2018,0.000236254753049987,0.000239960725398453
15,"Mulheres",2018,0.000501543161037771,0.000446617361625855
20,"Mulheres",2018,0.000555201613154842,0.000556124308511958
25,"Mulheres",2018,0.000641091625037982,0.000644719598209975
30,"Mulheres",2018,0.000921448529301057,0.000868724351469502
35,"Mulheres",2018,0.00115969929446714,0.00123483820321334
40,"Mulheres",2018,0.00177432719201922,0.00179901836688201
45,"Mulheres",2018,0.00260668556413439,0.00265208163112524
50,"Mulheres",2018,0.0038396713183279,0.00392767109644891
55,"Mulheres",2018,0.00598362769986381,0.00586148485455785
60,"Mulheres",2018,0.00862182251195135,0.00910904821087955
65,"Mulheres",2018,0.0135412195592292,0.0139593239896324
70,"Mulheres",2018,0.0201192280010554,0.0202665618718869
75,"Mulheres",2018,0.0352485615519553,0.0354036264134805
80,"Mulheres",2018,0.0621520174740501,0.06206141626521
85,"Mulheres",2018,0.112165656335257,0.108082008616847
90,"Mulheres",2018,0.186686892931181,0.189484833941721
0,"Mulheres",2019,0.00929556892926547,0.0111103224066213
1,"Mulheres",2019,0.00037087064907449,0.000453608731871651
5,"Mulheres",2019,0.000206607678397882,0.000199794835854554
10,"Mulheres",2019,0.000231777688273002,0.000235980942429496
15,"Mulheres",2019,0.000502528778280492,0.00043494563935497
20,"Mulheres",2019,0.00054869829931644,0.000563196357972924
25,"Mulheres",2019,0.000629008420821864,0.000649037758306511
30,"Mulheres",2019,0.000912555542793501,0.000866968182597344
35,"Mulheres",2019,0.00113554445818363,0.00122439416012776
40,"Mulheres",2019,0.00173918078769853,0.00179304912418174
45,"Mulheres",2019,0.00255001055968011,0.00262000457348761
50,"Mulheres",2019,0.00375461709606138,0.00387039092366506
55,"Mulheres",2019,0.00589293552413706,0.0058013197946986
60,"Mulheres",2019,0.00843777683583184,0.00902671271826711
65,"Mulheres",2019,0.0132797359197437,0.0139665044856012
70,"Mulheres",2019,0.0198218947459357,0.0200358084091665
75,"Mulheres",2019,0.0348113079395955,0.0350597318216265
80,"Mulheres",2019,0.0614747131252636,0.0618696550980123
85,"Mulheres",2019,0.111801235842116,0.108013218777689
90,"Mulheres",2019,0.186420169999005,0.189993298255459
