"idade","sexo","ano","MODELO","PREVISAO_FINAL","observado"
60,"Ambos",2017,"ETS",0.0119554964960736,0.0125794312033981
65,"Ambos",2017,"ETS",0.017947603318581,0.0185197840392794
70,"Ambos",2017,"LC",0.026309206624962,0.0265915836765864
75,"Ambos",2017,"ARIMA",0.0430998468674791,0.0432529318596678
80,"Ambos",2017,"ARIMA",0.0710518835801191,0.0710435754189944
85,"Ambos",2017,"ARIMA",0.119968801525011,0.118452282287798
90,"Ambos",2017,"LC",0.19296845990605,0.19793032230377
0,"Ambos",2018,"LC",0.0100481803864944,0.0125961118672796
1,"Ambos",2018,"ARIMA",0.000439174287016186,0.000512628272294209
5,"Ambos",2018,"ARIMA",0.000225844035390835,0.00022241249852167
10,"Ambos",2018,"LC",0.000305022010219609,0.000295022901989037
15,"Ambos",2018,"ARIMA",0.00123917555391025,0.00119487559111281
20,"Ambos",2018,"NNAR",0.00171639007487616,0.00165201727527514
25,"Ambos",2018,"NNAR",0.0017280119309587,0.00157151250787609
30,"Ambos",2018,"ARIMA",0.00187229396761827,0.00169393646145791
35,"Ambos",2018,"NNAR",0.00207854434482212,0.00205825244113301
40,"Ambos",2018,"LC",0.00279148638620495,0.00272847662139115
45,"Ambos",2018,"LC",0.00389282666093173,0.00383408401072333
50,"Ambos",2018,"ARIMA",0.00562538767478261,0.00561687786416938
55,"Ambos",2018,"ARIMA",0.00835779342516036,0.00817883990577953
60,"Ambos",2018,"ETS",0.0117059993361716,0.0123813984622388
65,"Ambos",2018,"ETS",0.0175928619312222,0.0182768538871936
70,"Ambos",2018,"LC",0.0259006644098012,0.0261473913239304
75,"Ambos",2018,"ARIMA",0.0425450147445849,0.0426250881213848
80,"Ambos",2018,"ARIMA",0.0702354145123066,0.0704233050160332
85,"Ambos",2018,"ARIMA",0.119226603102181,0.117121511420011
90,"Ambos",2018,"LC",0.192847830737651,0.198683310698221
0,"Ambos",2019,"LC",0.00947280121166323,0.0122142516006901
1,"Ambos",2019,"ARIMA",0.000419773665729391,0.000508587059912377
5,"Ambos",2019,"ARIMA",0.000219522184718196,0.000222035871097871
10,"Ambos",2019,"LC",0.000299186862560873,0.000286485622376721
15,"Ambos",2019,"ARIMA",0.00123917555391025,0.00105965218089672
20,"Ambos",2019,"NNAR",0.00171714636721643,0.00152903372806701
25,"Ambos",2019,"NNAR",0.00172847490491195,0.00149028211112217
30,"Ambos",2019,"ARIMA",0.00185839062184102,0.00164399084509165
35,"Ambos",2019,"NNAR",0.00204999105674475,0.00200083941999951
40,"Ambos",2019,"LC",0.00273120899590691,0.00267096818683157
45,"Ambos",2019,"LC",0.0038062442844088,0.00375370134920245
50,"Ambos",2019,"ARIMA",0.00550770126807639,0.00553706178159526
55,"Ambos",2019,"ARIMA",0.00822316670435704,0.00808833815876149
60,"Ambos",2019,"ETS",0.0114617088887486,0.0122329184919654
65,"Ambos",2019,"ETS",0.0172451321458958,0.0182329517186817
70,"Ambos",2019,"LC",0.0254984662377713,0.0258402760536951
75,"Ambos",2019,"ARIMA",0.0419973250759444,0.0422636281466819
80,"Ambos",2019,"ARIMA",0.0694283276269938,0.0700901170451768
85,"Ambos",2019,"ARIMA",0.118488996360621,0.117280748146842
90,"Ambos",2019,"LC",0.19272727697741,0.199488869045786
0,"Homens",2016,"LC",0.0121582626623753,0.0135205973397519
1,"Homens",2016,"ETS",0.000526495230010517,0.000547895048028865
5,"Homens",2016,"ARIMA",0.00026133548816467,0.000254574544624785
10,"Homens",2016,"NNAR",0.000428121043049388,0.000379603233180083
15,"Homens",2016,"NNAR",0.00191988227229113,0.00214515092977761
20,"Homens",2016,"ARIMA",0.0028611782050714,0.00289378198862236
25,"Homens",2016,"ETS",0.00269714625294397,0.00268515843763769
30,"Homens",2016,"LC",0.00265444616834636,0.00271249478754558
35,"Homens",2016,"LC",0.00310609332880151,0.00310993240598961
40,"Homens",2016,"NNAR",0.00394102438261363,0.00396177403582487
45,"Homens",2016,"LC",0.00556812685535993,0.00545824255628177
50,"Homens",2016,"ARIMA",0.00795006561593061,0.00781993137467045
